Sr_No,cache_key,robot_id,mi_url,error,url
1,1407731_dp_1.html,1407731,https://abbotsfordhyundai.com/listings/2022-hyundai-tucson-urban-edition-awd/,Endpoint request timed out,https://abbotsfordhyundai.com/inventory/?condition=new-cars
2,1387261_dp_2.html,1387261,https://langleychrysler.com/listings/2017-honda-civic-sedan-touring/,Endpoint request timed out,https://langleychrysler.com/inventory/?condition=used-cars&sort_order=date_low
3,1407730_dp_5.html,1407730,https://abbotsfordhyundai.com/listings/2020-hyundai-tucson-preferred/,Endpoint request timed out,https://abbotsfordhyundai.com/inventory/?condition=used-cars
4,1390804_dp_4.html,1390804,https://langleychrysler.com/listings/2022-ram-1500-big-horn-2/,Endpoint request timed out,https://langleychrysler.com/inventory/?condition=new-cars&sort_order=date_low
5,11795991_dp_1.html,11795991,https://www.danwheels.ca/inventory/2019-mazda-6-signature/,Endpoint request timed out,https://danwheels.ca/inventory/?inventory-type=automotive
6,11795991_dp_2.html,11795991,https://www.danwheels.ca/inventory/2012-dodge-durango-citedel/,Endpoint request timed out,https://danwheels.ca/inventory/?inventory-type=automotive
7,1390804_dp_1.html,1390804,https://langleychrysler.com/listings/2022-dodge-durango-r-t-2/,Endpoint request timed out,https://langleychrysler.com/inventory/?condition=new-cars&sort_order=date_low
8,1407730_dp_3.html,1407730,https://abbotsfordhyundai.com/listings/2018-toyota-corolla-le/,Endpoint request timed out,https://abbotsfordhyundai.com/inventory/?condition=used-cars
9,1407730_dp_2.html,1407730,https://abbotsfordhyundai.com/listings/2016-hyundai-santa-fe-sport-base/,Endpoint request timed out,https://abbotsfordhyundai.com/inventory/?condition=used-cars
10,1387261_dp_1.html,1387261,https://langleychrysler.com/listings/2019-ram-2500-big-horn/,Endpoint request timed out,https://langleychrysler.com/inventory/?condition=used-cars&sort_order=date_low
11,1407730_dp_4.html,1407730,https://abbotsfordhyundai.com/listings/2020-mazda-cx-5-gt/,Endpoint request timed out,https://abbotsfordhyundai.com/inventory/?condition=used-cars
12,1407731_dp_2.html,1407731,https://abbotsfordhyundai.com/listings/2022-hyundai-kona-2-0l-essential-awd/,Endpoint request timed out,https://abbotsfordhyundai.com/inventory/?condition=new-cars
13,1407731_dp_3.html,1407731,https://abbotsfordhyundai.com/listings/2022-hyundai-venue-essential-w-two-tone/,Endpoint request timed out,https://abbotsfordhyundai.com/inventory/?condition=new-cars
14,1407731_dp_4.html,1407731,https://abbotsfordhyundai.com/listings/2023-hyundai-elantra-preferred-at-fwd/,Endpoint request timed out,https://abbotsfordhyundai.com/inventory/?condition=new-cars
15,1407731_dp_5.html,1407731,https://abbotsfordhyundai.com/listings/2022-hyundai-kona-1-6t-le-n-line-awd/,Endpoint request timed out,https://abbotsfordhyundai.com/inventory/?condition=new-cars
16,11795991_dp_3.html,11795991,https://www.danwheels.ca/inventory/2018-chevrolet-silverado-lt-1500/,Endpoint request timed out,https://danwheels.ca/inventory/?inventory-type=automotive
17,11795991_dp_4.html,11795991,https://www.danwheels.ca/inventory/2013-ford-f150-fx4/,Endpoint request timed out,https://danwheels.ca/inventory/?inventory-type=automotive
18,11795991_dp_5.html,11795991,https://www.danwheels.ca/inventory/2012-mercedes-benz-gl-class/,Endpoint request timed out,https://danwheels.ca/inventory/?inventory-type=automotive
19,1390804_dp_2.html,1390804,https://langleychrysler.com/listings/2022-jeep-wagoneer-series-iii-3/,Endpoint request timed out,https://langleychrysler.com/inventory/?condition=new-cars&sort_order=date_low
20,1390804_dp_3.html,1390804,https://langleychrysler.com/listings/2022-dodge-charger-sxt-8/,Endpoint request timed out,https://langleychrysler.com/inventory/?condition=new-cars&sort_order=date_low
21,1407730_dp_1.html,1407730,https://abbotsfordhyundai.com/listings/2018-hyundai-elantra-gt-gls/,Endpoint request timed out,https://abbotsfordhyundai.com/inventory/?condition=used-cars
22,1390804_dp_5.html,1390804,https://langleychrysler.com/listings/2022-chrysler-grand-caravan-sxt/,Endpoint request timed out,https://langleychrysler.com/inventory/?condition=new-cars&sort_order=date_low
23,1387261_dp_3.html,1387261,https://langleychrysler.com/listings/2018-ford-f-150-lariat/,Endpoint request timed out,https://langleychrysler.com/inventory/?condition=used-cars&sort_order=date_low
24,1387261_dp_4.html,1387261,https://langleychrysler.com/listings/2019-nissan-murano-platinum-awd/,Endpoint request timed out,https://langleychrysler.com/inventory/?condition=used-cars&sort_order=date_low
25,1387261_dp_5.html,1387261,https://langleychrysler.com/listings/2016-jeep-cherokee-north-2/,Endpoint request timed out,https://langleychrysler.com/inventory/?condition=used-cars&sort_order=date_low
